Star	HD	RA	dec	Vmag	Vmagerr	par	parerr	source	teff	tefferr	logg	loggerr	logglc	logglcerr	vt	vterr	feh	feherr	mass	masserr	Author	link	flag	updated	Comment	tmp
11 Com	107383	12 20 43.02	+17 47 34.33	4.74	0.02	11.25	0.22	Simbad	4830	79	2.61	0.13	NULL	NULL	1.7	0.1	-0.34	0.06	2	0.29	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
11 UMi	136726	15 17 05.88	+71 49 26.04	5.02	NULL	8.19	0.19	Simbad	4255	88	1.8	0.26	NULL	NULL	1.79	0.08	-0.13	0.04	3.4	0.77	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
14 And	221345	23 31 17.41	+39 14 10.30	5.22	NULL	12.63	0.27	Simbad	4709	37	2.44	0.12	NULL	NULL	1.51	0.03	-0.29	0.03	2.38	0.29	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
14 Her	145675	16 10 24.31	+43 49 03.52	6.67	NULL	56.91	0.34	Simbad	5311	87	4.42	0.18	NULL	NULL	0.92	0.1	0.43	0.08	0.95	0.09	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
16 Cyg B	186427	19 41 51.97	+50 31 03.08	6.2	NULL	47.14	0.27	Simbad	5772	25	4.4	0.07	NULL	NULL	1.07	0.04	0.08	0.04	1	0.07	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
18 Del	199665	20 58 25.93	+10 50 21.42	5.52	NULL	13.28	0.31	Simbad	5076	38	3.08	0.1	NULL	NULL	1.32	0.04	0	0.03	2.33	0.05	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
1SWASP J1407	NULL	14 07 48.00	-39 45 43.00	12.4	NULL	NULL	NULL	Spec	4400	100	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kenworthy et al. 2014	http://adsabs.harvard.edu/abs/2015MNRAS.446..411K	0	2015-05-28	NULL	NULL
24 Sex	90043	10 23 28.37	-00 54 08.09	6.44	0.01	12.91	0.38	Simbad	5069	62	3.4	0.13	NULL	NULL	1.27	0.07	-0.01	0.05	1.81	0.08	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
30 Ari B	16232	02 36 57.74	+24 38 53.03	7.09	NULL	24.52	0.68	Simbad	6284	98	4.35	0.2	NULL	NULL	NULL	NULL	0.12	0.08	1.22	0.08	Tsantaki et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1407.6765T	1	2014-08-06	NULL	NULL
38 Vir	111998	12 53 11.16	-03 33 11.16	6.11	NULL	30.55	0.3	Simbad	6557	96	4.19	0.11	NULL	NULL	NULL	NULL	0.07	NULL	NULL	NULL	Borgniet et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1608.08257	0	2016-09-12	NULL	NULL
4 UMa	73108	08 40 12.81	+64 19 40.57	4.6	NULL	12.74	0.26	Simbad	4531	52	2.32	0.14	NULL	NULL	1.54	0.04	-0.19	0.03	2.51	0.34	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
42 Dra	170693	18 25 59.13	+65 33 48.52	4.83	NULL	10.36	0.2	Simbad	4452	42	2.09	0.16	NULL	NULL	1.5	0.04	-0.41	0.03	2.77	0.42	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
47 Uma	95128	10 59 27.97	+40 25 48.92	5.04	0.05	71.11	0.25	Simbad	5954	25	4.44	0.1	NULL	NULL	1.3	0.04	0.06	0.03	1.04	0.08	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
51 Peg	217014	22 57 27.98	+20 46 07.79	5.46	0.05	64.07	0.38	Simbad	5804	36	4.42	0.07	NULL	NULL	1.2	0.05	0.2	0.05	1.04	0.08	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
55 Cnc	75732	08 52 35.81	+28 19 50.95	5.95	0.05	81.03	0.75	Simbad	5279	62	4.37	0.18	NULL	NULL	0.98	0.07	0.33	0.07	0.93	0.09	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
6 Lyn	45410	06 30 47.10	+58 09 45.48	5.88	NULL	17.92	0.47	Simbad	5022	28	3.15	0.13	NULL	NULL	1.16	0.03	-0.1	0.02	1.6	0.19	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
61 Vir	115617	13 18 24.31	-18 18 40.30	4.74	0.01	99.99	0.22	Simbad	5577	33	4.34	0.11	NULL	NULL	1.07	0.04	0.01	0.05	0.94	0.08	Santos et al. 2005	http://adsabs.harvard.edu/abs/2005A%26A...437.1127S	1	2013-02-26	NULL	NULL
7 CMa	47205	06 36 41.03	-19 15 21.16	3.95	0.01	50.63	0.23	Simbad	4761	79	3.11	0.22	NULL	NULL	1.19	0.08	0.21	0.05	1.34	0.13	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
70 Vir	117176	13 28 25.80	+13 46 43.63	4.97	0.01	55.6	0.24	Simbad	5560	34	4.07	0.05	NULL	NULL	1.18	0.05	-0.06	0.05	1.03	0.08	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
75 Cet	15779	02 32 09.42	-01 02 05.62	5.36	NULL	12.28	0.45	Simbad	4904	47	2.87	0.14	NULL	NULL	1.41	0.05	0.02	0.04	2.15	0.18	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
8 Umi	133086	14 56 48.00	+74 54 03.00	6.83	NULL	6.25	0.43	Simbad	4847	8	2.57	0.03	NULL	NULL	1.48	0.04	-0.03	0.02	2.39	0.17	Lee et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150909012L	0	2015-10-08	NULL	NULL
81 Cet	16400	02 37 41.80	-03 23 46.22	5.66	NULL	10.81	0.45	Simbad	4845	51	2.45	0.19	NULL	NULL	1.58	0.05	-0.07	0.04	1.74	0.22	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
91 Aqr	219449	23 15 53.49	-09 05 15.85	4.21	NULL	21.77	0.29	Simbad	4681	92	2.65	0.22	NULL	NULL	1.59	0.09	0	0.05	1.32	0.23	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
Aldebaran	29139	04 35 55.00	+16 30 33.00	0.85	NULL	48.94	0.77	Simbad	4055	70	1.2	0.1	NULL	NULL	NULL	NULL	-0.27	0.05	4.56	0.44	Hatzes et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150503454H	0	2015-05-28	NULL	NULL
alf Ari	12929	02 07 10.40	+23 27 44.70	2	0.01	49.56	0.25	Simbad	4513	72	2.49	0.21	NULL	NULL	1.5	0.07	-0.16	0.03	1.33	0.22	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
alf Cen B	128621	14 39 35.06	-60 50 15.09	1.33	NULL	99.99	25.9	Simbad	5234	63	4.4	0.11	NULL	NULL	0.9	0.12	0.16	0.04	0.87	0.07	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
AS 205A	NULL	16 11 31.00	-18 38 25.00	12.4	NULL	NULL	NULL	Spec	4300	NULL	3.5	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	Viana Almeida et al. 2017	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1701.02713	0	2017-01-11	M0	NULL
BD-06 1339	NULL	05 53 00.28	-05 59 41.43	9.69	NULL	49.23	1.65	Simbad	4324	100	4.74	0.02	NULL	NULL	NULL	NULL	-0.14	0.17	0.61	0.05	Lo Curto et al. 2013	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1301.2741	0	2017-01-10	K7V/M0V	HIP 27803
BD-08 2823	NULL	10 00 47.72	-09 31 00.03	9.86	NULL	23.53	1.56	Simbad	4648	135	4.33	0.32	NULL	NULL	0.27	0.81	0	0.08	0.74	0.1	Tsantaki et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...555A.150T	1	2013-02-26	NULL	NULL
BD-10 3166	NULL	10 58 28.77	-10 46 13.38	10.01	0.04	10.46	NULL	Spec	5325	45	4.36	0.21	NULL	NULL	0.95	0.05	0.35	0.05	0.96	0.09	Santos et al. 2005	http://adsabs.harvard.edu/abs/2005A%26A...437.1127S	1	2013-02-26	NULL	NULL
BD-11 4672	NULL	18 33 29.00	-11 38 10.00	10.02	NULL	36.65	1.73	Simbad	4475	100	4.1	0.36	NULL	NULL	0.67	0.16	-0.48	0.05	0.72	0.13	Moutou et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1412.6591	1	2015-01-19	NULL	NULL
BD-17 63	NULL	00 28 34.30	-16 13 34.84	9.63	NULL	28.01	1.27	Simbad	4665	105	4.19	0.24	NULL	NULL	0.57	0.54	0.01	0.08	0.76	0.1	Sousa et al. 2011b	http://adsabs.harvard.edu/abs/2011A%26A...533A.141S	1	2013-02-26	NULL	NULL
BD+14 4559	NULL	21 13 35.99	+14 41 21.79	9.66	0.03	20.68	1.24	Simbad	4864	101	4.26	0.29	NULL	NULL	0.72	0.25	0.17	0.06	0.82	0.11	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	HIP 104780
BD+15 2375	NULL	11 45 56.00	+14 36 59.00	10.3	0.02	1.26	NULL	Spec	4649	30	2.61	0.12	NULL	NULL	NULL	NULL	-0.22	0.08	2.07	0.25	Niedzielski et al. 2016	http://adsabs.harvard.edu/abs/2016arXiv160106832N	0	2016-03-24	NULL	TYC 870-204-1
BD+15 2940	NULL	16 00 22.94	+15 32 48.90	9.05	0.02	1.97	1.21	Spec	4796	117	2.8	0.45	NULL	NULL	NULL	NULL	0.28	0.07	1.1	0.2	Nowak et al. 2013	http://adsabs.harvard.edu/abs/2013arXiv1304.6755N	NULL	2013-05-02	NULL	HIP 78407
BD+20 2457	NULL	10 16 44.86	+19 53 28.97	9.74	0.03	1.19	NULL	Spec	4259	64	1.77	0.19	NULL	NULL	1.98	0.07	-0.79	0.03	1.06	0.21	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	TYC 1422-790-1
BD+20 274	NULL	01 43 40.87	+21 00 19.04	9.37	0.03	1.62	NULL	Spec	4391	79	2.03	0.21	NULL	NULL	1.8	0.08	-0.32	0.04	1.17	0.23	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	TYC 1211-603-1
BD+20 594	NULL	03 34 36.00	+20 35 57.00	11	0.05	6.21	NULL	Spec	5766	99	4.5	0.08	NULL	NULL	NULL	NULL	-0.15	0.05	1	0.07	Espinoza et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1601.07608	0	2016-02-02	NULL	TYC 1242-608-1
BD+24 4697	NULL	23 01 39.00	+25 47 17.00	9.74	0.02	20.51	1.33	Simbad	5077	32	4.67	0.07	NULL	NULL	1.04	0.05	-0.11	0.02	0.81	0.05	Wilson et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.02749	1	2016-02-25	NULL	TYC 2239-389-1
BD+26 1888	NULL	09 02 31.00	+25 53 22.00	9.76	0.04	26.3	1.87	Simbad	4748	87	4.3	0.2	NULL	NULL	0.74	0.24	0.02	0.04	0.82	0.08	Wilson et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.02749	1	2016-02-25	NULL	HIP 44387
BD+48 738	NULL	02 42 50.46	+49 35 13.08	9.14	0.02	2.85	NULL	Spec	4658	118	2.62	0.26	NULL	NULL	1.7	0.12	-0.09	0.08	1.19	0.24	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	TYC 3304-323-1
BD+49 828	NULL	03 02 34.00	+49 43 48.00	9.38	0.02	2.15	NULL	Spec	5015	36	2.87	0.09	NULL	NULL	1.48	0.04	-0.01	0.03	2.01	0.2	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	TYC 3318-1515-1
beta Cnc	69267	08 16 30.92	+09 11 07.96	3.52	0.01	10.75	0.19	Simbad	4092	17	1.4	0.1	NULL	NULL	1.8	0.1	-0.29	0.06	1.7	0.1	Lee et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1405.2127L	NULL	2014-05-23	NULL	NULL
beta Umi	131873	14 50 42.33	+74 09 19.81	2.08	NULL	24.91	0.12	Simbad	4126	25	1.5	0.1	NULL	NULL	1.7	0.1	-0.27	0.07	1.4	0.2	Lee et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1405.2127L	NULL	2014-05-23	NULL	NULL
CI Tau	NULL	04 33 52.00	+22 50 30.00	13	NULL	NULL	NULL	Spec	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Rosotti et al. 2017	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.02917	0	2017-03-20	NULL	NULL
CL Tau	NULL	04 38 45.00	+08 05 46.00	13	NULL	NULL	NULL	Spec	4050	180	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Johns-Krull et al. 2016,Guilloteau et al. 2014	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.07917,http://adsabs.harvard.edu/abs/2014A%26A...567A.117G	0	2016-05-27	NULL	NULL
CoRoT-1	NULL	06 48 19.17	-03 06 07.68	13.6	NULL	1.5	NULL	Spec	6397	54	4.66	0.09	4.35	0.01	1.68	0.09	0.03	0.04	1.13	0.08	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2014-01-20	NULL	NULL
CoRoT-10	NULL	19 24 15.29	+00 44 45.99	15.22	NULL	1.39	NULL	Spec	5025	155	4.47	0.31	4.61	0.02	1.26	0.34	0.06	0.09	0.8	0.1	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
CoRoT-11	NULL	18 42 44.95	+05 56 15.70	12.8	0.38	NULL	NULL	Simbad	6343	72	4.27	0.3	4.26	0.06	NULL	NULL	0.04	0.03	1.56	0.1	Tsantaki et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1407.6765T	1	2014-08-06	NULL	NULL
CoRoT-12	NULL	06 43 03.76	-01 17 47.12	15.52	0.05	0.97	NULL	Spec	5715	208	4.66	0.22	4.41	0.02	1.07	0.31	0.17	0.14	0.97	0.1	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
CoRoT-13	NULL	06 50 53.07	-05 05 11.14	15.04	NULL	NULL	NULL	Spec	5945	90	4.26	0.04	NULL	NULL	NULL	NULL	0.01	0.07	1.09	0.08	Southworth 2011	http://adsabs.harvard.edu/abs/2011MNRAS.417.2166S	NULL	2013-02-26	NULL	NULL
CoRoT-14	NULL	06 53 41.80	-05 32 09.69	16.03	0.07	NULL	NULL	Spec	6035	100	4.34	0.08	NULL	NULL	NULL	NULL	0.05	0.15	1.13	0.1	Southworth 2011	http://adsabs.harvard.edu/abs/2011MNRAS.417.2166S	NULL	2013-02-26	NULL	NULL
CoRoT-15	NULL	06 28 28.00	+06 11 10.47	NULL	NULL	NULL	NULL	Spec	6260	140	4.1	0.2	NULL	NULL	NULL	NULL	-0.29	0.1	1.24	0.14	Bouchy et al. 2011	http://adsabs.harvard.edu/abs/2011A%26A...533A..83B	0	2015-11-09	NULL	NULL
CoRoT-16	NULL	18 34 05.91	-06 00 09.35	16.03	0.43	NULL	NULL	Spec	5650	100	4.36	0.1	NULL	NULL	NULL	NULL	0.19	0.06	1.1	0.08	Ollivier et al. 2012	http://adsabs.harvard.edu/abs/2012A%26A...541A.149O	NULL	2013-02-26	NULL	NULL
CoRoT-17	NULL	18 34 47.81	-06 36 44.13	15.88	0.43	NULL	NULL	Spec	5740	80	4.04	0.07	NULL	NULL	NULL	NULL	0	0.1	1.04	0.07	Southworth 2012	http://adsabs.harvard.edu/abs/2012MNRAS.426.1291S	NULL	2013-02-26	NULL	NULL
CoRoT-18	NULL	06 32 41.37	-00 01 53.75	15	0.1	NULL	NULL	Spec	5440	100	4.44	0.04	NULL	NULL	NULL	NULL	-0.1	0.1	0.86	0.06	Southworth 2012	http://adsabs.harvard.edu/abs/2012MNRAS.426.1291S	NULL	2013-02-26	NULL	NULL
CoRoT-19	NULL	06 28 08.05	-00 10 14.50	14.01	NULL	NULL	NULL	Spec	6090	70	4.12	0.05	NULL	NULL	NULL	NULL	-0.02	0.1	1.18	0.13	Southworth 2012	http://adsabs.harvard.edu/abs/2012MNRAS.426.1291S	NULL	2013-02-26	NULL	NULL
CoRoT-2	NULL	19 27 06.49	+01 23 01.38	12.57	NULL	4.29	NULL	Spec	5697	97	4.73	0.17	4.52	0.01	1.64	0.16	-0.09	0.07	0.89	0.07	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
CoRoT-20	NULL	06 30 52.90	+00 13 36.85	14.66	NULL	NULL	NULL	Spec	5880	90	4.23	0.24	NULL	NULL	NULL	NULL	0.14	0.12	1.11	0.1	Southworth 2012	http://adsabs.harvard.edu/abs/2012MNRAS.426.1291S	NULL	2013-02-26	NULL	NULL
CoRoT-21	NULL	06 44 12.64	-00 17 57.06	16	0.04	NULL	NULL	Spec	6200	100	3.7	0.1	NULL	NULL	NULL	NULL	0	0.1	1.39	0.09	Patzold et al. 2012	http://adsabs.harvard.edu/abs/2012A%26A...545A...6P	NULL	2013-02-26	NULL	NULL
CoRoT-22	NULL	18 42 40.11	+06 13 08.97	11.93	0.08	1.16	NULL	Spec	5939	100	4.3	0.1	NULL	NULL	NULL	NULL	0.17	0.1	1.19	0.09	Moutou et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1408.2576M	0	2014-08-29	NULL	NULL
CoRoT-23	NULL	18 39 07.84	+04 21 28.06	15.63	NULL	NULL	NULL	Spec	5900	100	4.01	0.08	NULL	NULL	NULL	NULL	0.05	0.1	1.12	0.09	Southworth 2012	http://adsabs.harvard.edu/abs/2012MNRAS.426.1291S	NULL	2013-02-26	NULL	NULL
CoRoT-24	NULL	06 47 42.00	-03 43 10.00	NULL	NULL	NULL	NULL	Spec	4950	150	4.55	0.15	NULL	NULL	NULL	NULL	0.3	0.15	0.87	0.08	Alonso et al. 2014	http://adsabs.harvard.edu/abs/2014A%26A...567A.112A	0	2015-05-28	NULL	NULL
CoRoT-25	NULL	18 42 31.12	+06 30 49.78	14.97	0.03	NULL	NULL	Spec	6040	90	4.28	0.1	NULL	NULL	1	0.5	-0.01	0.13	1.09	0.08	Almenara et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...555A.118A	NULL	2013-08-22	NULL	NULL
CoRoT-26	NULL	18 39 00.12	+06 58 11.23	15.76	0.06	NULL	NULL	Spec	5590	100	4.1	0.1	NULL	NULL	0.8	NULL	0.01	0.13	1.09	0.06	Almenara et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...555A.118A	NULL	2013-08-22	NULL	NULL
CoRoT-27	NULL	18 33 58.99	+05 32 18.96	15.54	NULL	NULL	NULL	Spec	5900	120	4.4	0.1	NULL	NULL	1.3	0.5	0.1	0.1	1.05	0.11	Parviainen et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1401.1122P	0	2014-01-21	NULL	NULL
CoRoT-28	NULL	18 34 45.00	+05 34 26.04	13.49	0.02	0.82	NULL	Spec	5150	100	3.6	0.2	NULL	NULL	0.9	0.1	0.15	0.1	1.32	0.2	Cabrera et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150401532C	0	2015-05-07	NULL	NULL
CoRoT-29	NULL	18 35 37.01	+06 28 46.92	15.35	0.07	0.85	NULL	Spec	5260	100	4.3	0.2	NULL	NULL	0.9	0.1	0.2	0.1	1	0.1	Cabrera et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150401532C	0	2015-05-07	NULL	NULL
CoRoT-3	NULL	19 28 13.27	+00 07 18.62	13.29	NULL	NULL	NULL	Simbad	6558	44	4.25	0.15	4.25	0.07	NULL	NULL	0.14	0.04	1.41	0.08	Tsantaki et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1407.6765T	1	2014-08-06	NULL	NULL
CoRoT-33	NULL	18 38 34.00	+05 37 29.00	14.7	NULL	1.3	NULL	Spec	5225	80	4.4	0.1	NULL	NULL	0.86	0.1	0.44	0.1	1.01	0.08	Csizmadia et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150805763C	0	2015-11-09	NULL	NULL
CoRoT-4	NULL	06 48 46.71	-00 40 21.98	13.7	NULL	1.93	NULL	Spec	6344	93	4.82	0.11	4.37	0.02	1.74	0.14	0.15	0.06	1.14	0.08	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
CoRoT-5	NULL	06 45 06.54	+00 48 54.86	14	NULL	1.16	NULL	Spec	6240	70	4.46	0.11	4.41	0.03	1.28	0.09	0.04	0.05	1.13	0.09	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
CoRoT-6	NULL	18 44 17.40	+06 39 47.50	13.8	0.3	NULL	NULL	Spec	6090	70	4.42	0.02	NULL	NULL	NULL	NULL	-0.2	0.1	1.05	0.06	Southworth 2011	http://adsabs.harvard.edu/abs/2011MNRAS.417.2166S	NULL	2013-02-26	NULL	NULL
CoRoT-7	NULL	06 43 49.47	-01 03 46.92	11.73	0.15	5.37	NULL	Spec	5288	27	4.4	0.07	4.51	0.02	0.9	0.05	0.02	0.02	0.85	0.06	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
CoRoT-8	NULL	19 26 21.24	+01 25 35.17	14.8	NULL	1.43	NULL	Spec	5143	178	4.42	0.33	4.49	0.03	0.61	0.4	0.22	0.11	0.87	0.12	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
CoRoT-9	NULL	18 43 08.81	+06 12 14.89	13.46	0.31	1.85	NULL	Spec	5613	36	4.35	0.09	4.47	0.04	0.9	0.05	-0.02	0.03	0.94	0.07	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
CVSO 30	NULL	05 25 08.00	+01 34 24.00	16.26	NULL	NULL	NULL	Spec	3740	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Schmidt et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.05315	0	2017-01-16	M3	PTFO 8-8695
DE0823-49	NULL	08 23 03.00	-48 47 59.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Sahlmann et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.133S	0	2015-05-28	NULL	NULL
DW Lyn	NULL	07 07 9.810	+60 38 50.13	NULL	NULL	NULL	NULL	Spec	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Lutz et al. 2013	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1301.2048	0	2016-02-25	NULL	NULL
EPIC 201295312	NULL	11 36 03.00	-02 31 15.00	12.5	NULL	1.59	NULL	Spec	5830	70	4.04	0.08	NULL	NULL	1.2	0.07	0.13	0.07	1.26	0.1	Van Eylen et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.01851	0	2016-02-25	NULL	NULL
EPIC 201445392	NULL	11 19 10.48	-00 17 03.80	14.38	0.03	NULL	NULL	Spec	4890	58	4.6	NULL	NULL	NULL	NULL	NULL	-0.01	0.13	0.79	0.04	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2015-12-10	NULL	K2-8
EPIC 201505350	NULL	11 39 50.48	+00 36 12.90	12.81	0.01	NULL	NULL	Spec	5430	82	4.55	NULL	NULL	NULL	NULL	NULL	0.1	0.1	NULL	NULL	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2015-12-10	NULL	K2-19
EPIC 201637175	NULL	11 17 56.00	+02 37 07.00	17	NULL	2.71	NULL	Spec	3830	100	4.65	0.12	NULL	NULL	NULL	NULL	0.03	0.08	0.52	0.04	Sanchis-Ojeda et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150404379S	0	2015-05-07	M dwarf	NULL
EPIC 201713348	NULL	11 17 48.00	+03 51 59.00	11.8	0.23	8.84	NULL	Spec	4924	60	4.65	0.07	NULL	NULL	NULL	NULL	-0.03	0.04	0.79	0.05	Sinukoff et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1511.09213	0	2016-06-09	NULL	NULL
EPIC 201754305	NULL	11 40 23.34	+04 33 26.40	14.3	0.01	NULL	NULL	Spec	4761	57	4.65	NULL	NULL	NULL	NULL	NULL	-0.4	0.17	0.67	0.04	Montet et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866	0	2015-12-10	NULL	K2-16
EPIC 203771098	NULL	16 10 18.00	-24 59 25.00	11.3	0.1	3.92	NULL	Spec	5743	60	4.29	0.07	NULL	NULL	NULL	NULL	0.42	0.04	1.2	0.08	Petigura et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1511.04497	0	2015-11-19	NULL	K2-24
EPIC 203826436	NULL	16 13 48.00	-24 47 13.00	12.52	0.06	3.85	NULL	Spec	5413	60	4.52	0.07	NULL	NULL	NULL	NULL	-0.03	0.04	0.93	0.06	Sinukoff et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1511.09213	0	2016-06-09	NULL	NULL
EPIC 204221263	NULL	16 00 08.00	-23 11 21.00	11.39	0.03	4.1	NULL	Spec	5757	60	4.35	0.08	NULL	NULL	NULL	NULL	0.28	0.04	1.14	0.08	Sinukoff et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1511.09213	0	2016-07-04	NULL	K2-38
EPIC 205071984	NULL	16 49 42.27	-19 32 34.08	12.31	0.02	4.02	NULL	Spec	5315	60	4.43	0.07	NULL	NULL	NULL	NULL	0	0.04	0.93	0.06	Dai et al. 2016	http://adsabs.harvard.edu/abs/2016arXiv160401413D	0	2016-08-29	NULL	NULL
